father	littersize	litternumber	season
6661051	33310183	9	A	Fall
6661053	33310183	9	A	Fall
6661065	33310212	11	A	Fall
6661066	33310212	11	A	Fall
6661067	33310212	11	A	Fall
6661068	33310212	11	A	Fall
6661069	33310212	11	A	Fall
6661080	33310196	8	A	Fall
6661081	33310196	8	A	Fall
6661082	33310196	8	A	Fall
6661096	33310175	11	A	Fall
6661097	33310175	11	A	Fall
6661098	33310175	11	A	Fall
6661099	33310175	11	A	Fall
6661100	33310175	11	A	Fall
6661105	33310168	10	A	Fall
6661107	33310168	10	A	Fall
6661108	33310168	10	A	Fall
6661109	33310168	10	A	Fall
6661113	33310164	8	A	Fall
6661114	33310164	8	A	Fall
6661115	33310164	8	A	Fall
6661116	33310164	8	A	Fall
6661117	33310164	8	A	Fall
6661121	33310146	10	A	Fall
6661122	33310146	10	A	Fall
6661123	33310146	10	A	Fall
6661124	33310146	10	A	Fall
6661125	33310146	10	A	Fall
6661130	33310176	9	A	Fall
6661131	33310176	9	A	Fall
6661132	33310176	9	A	Fall
6661133	33310176	9	A	Fall
6661134	33310176	9	A	Fall
6661139	33310203	9	A	Fall
6661140	33310203	9	A	Fall
6661141	33310203	9	A	Fall
6661142	33310203	9	A	Fall
6661143	33310203	9	A	Fall
6661154	33310156	9	A	Fall
6661155	33310156	9	A	Fall
6661156	33310156	9	A	Fall
6661157	33310156	9	A	Fall
6661158	33310156	9	A	Fall
6661162	33310259	10	A	Fall
6661163	33310259	10	A	Fall
6661164	33310259	10	A	Fall
6661165	33310259	10	A	Fall
6661166	33310259	10	A	Fall
6661208	33310279	10	A	Winter
6661209	33310279	10	A	Winter
6661210	33310279	10	A	Winter
6661211	33310279	10	A	Winter
6661212	33310279	10	A	Winter
6661223	33310239	11	A	Winter
6661224	33310239	11	A	Winter
6661225	33310239	11	A	Winter
6661226	33310239	11	A	Winter
6661227	33310239	11	A	Winter
6661232	33310179	11	A	Winter
6661233	33310179	11	A	Winter
6661234	33310179	11	A	Winter
6661240	33310278	9	A	Winter
6661241	33310278	9	A	Winter
6661242	33310278	9	A	Winter
6661243	33310278	9	A	Winter
6661244	33310278	9	A	Winter
6661249	33310137	8	A	Winter
6661250	33310137	8	A	Winter
6661251	33310137	8	A	Winter
6661252	33310137	8	A	Winter
6661253	33310137	8	A	Winter
6661257	33310160	9	A	Winter
6661258	33310160	9	A	Winter
6661259	33310160	9	A	Winter
6661260	33310160	9	A	Winter
6661261	33310160	9	A	Winter
6661307	33310211	10	A	Winter
6661308	33310211	10	A	Winter
6661309	33310211	10	A	Winter
6661310	33310211	10	A	Winter
6661311	33310211	10	A	Winter
6661316	33310268	11	A	Winter
6661317	33310268	11	A	Winter
6661318	33310268	11	A	Winter
6661319	33310268	11	A	Winter
6661320	33310268	11	A	Winter
6661325	33310138	12	B	Winter
6661326	33310138	12	B	Winter
6661327	33310138	12	B	Winter
6661328	33310138	12	B	Winter
6661329	33310138	12	B	Winter
6661340	33310192	9	A	Winter
6661342	33310192	9	A	Winter
6661343	33310192	9	A	Winter
6661368	33310228	12	B	Winter
6661370	33310228	12	B	Winter
6661371	33310228	12	B	Winter
6661372	33310228	12	B	Winter
6661377	33310271	8	B	Winter
6661378	33310271	8	B	Winter
6661379	33310271	8	B	Winter
6661380	33310271	8	B	Winter
6661385	33310260	12	A	Winter
6661386	33310260	12	A	Winter
6661387	33310260	12	A	Winter
6661388	33310260	12	A	Winter
6661389	33310260	12	A	Winter
6661407	33310171	10	A	Winter
6661408	33310171	10	A	Winter
6661409	33310171	10	A	Winter
6661410	33310171	10	A	Winter
6661411	33310171	10	A	Winter
6661442	33310248	9	A	Winter
6661443	33310248	9	A	Winter
6661444	33310248	9	A	Winter
6661445	33310248	9	A	Winter
