d21	d28	d35	d42	d49	d56	d63	d70
6661051	9.73	19.33	27.62	33.5	36	40.49	41.17	42.43
6661053	6.68	12.46	17.95	19.62	20.75	22.23	23.83	24.59
6661065	9.01	16.95	23.59	26.92	30.12	31.76	32.93	34.4
6661066	8.72	15.73	22.03	26.93	29.76	30.91	31.27	32.63
6661067	9.48	17.67	24.33	28.12	30.61	31.94	32.41	34.7
6661068	8.73	16.56	22.91	27.19	29.68	30.62	31.49	33.03
6661069	9.41	17.98	23.39	25.62	27.32	29.16	29.07	31.06
6661080	12.59	21.42	26.35	28.15	29.49	31.25	32.91	36.32
6661081	12.82	22.01	28.2	30.4	31.72	33.45	33.95	35.39
6661082	12.11	21.84	26.83	29.21	30.56	33.15	34.56	36.44
6661096	9.63	18.28	25.24	28.35	31.01	34.19	36.7	39.21
6661097	10.63	18.62	27.08	34.09	38.56	41.54	43.39	45.43
6661098	10.53	18.85	27.93	34.46	36.6	40.74	43.76	46.91
6661099	10.62	20.35	28.19	31.95	34.54	35.79	37.5	38.15
6661100	9.7	17.07	24.09	27.87	30.88	33.45	35.61	38.72
6661105	8.61	14.03	20.66	24.5	25.6	26.36	27.86	28.11
6661107	7.91	12.29	20.04	24.36	25.6	25.69	26.03	27.28
6661108	7.99	13.88	20.5	25.27	27.18	28.08	29.37	30.65
6661109	8.76	14.45	22.22	27.37	29.87	32.44	34.76	37.74
6661113	7.13	14.36	23.23	30.95	33.03	33.63	36.37	39.47
6661114	9.01	13.14	18.82	23.37	26.85	28.58	30.91	32.25
6661115	8.75	14.29	20.82	26.28	30.34	33.25	36.47	39.47
6661116	5.95	10.42	15.47	20.18	25.04	28.02	31.68	35.9
6661117	8.26	14.09	20.13	25.86	31.12	35.94	40.27	43.29
6661121	9.71	15.43	21.43	26.48	31.54	35.13	34.19	34.78
6661122	10	16.1	20.87	26.89	31.62	34.57	34.72	34.98
6661123	9.19	15.7	21.69	26.9	30.32	33.59	29.99	31
6661124	11.17	18.63	23.51	25.84	27.97	29.56	30.3	32.39
6661125	9.63	17.13	24.86	28.24	32.46	34.68	34.69	37
6661130	8.93	16.11	22.57	24.11	26.37	27.57	28.36	30.16
6661131	9.09	16.48	22.56	23.57	26.25	28.31	29.15	31.26
6661132	9.15	16.39	23.09	25.48	28.14	29.1	29.58	30.82
6661133	8.57	15.05	20.7	23.25	25.95	27.01	28.53	30.9
6661134	8.77	16.15	22.97	24.28	26.27	27.98	29.27	31.03
6661139	10.56	17.07	25.81	29.36	33.92	36.41	39.64	44.46
6661140	10.91	18.78	27.14	32.44	37.77	41.41	43.17	47.44
6661141	11.79	20.33	27.82	32.05	35.5	38.94	41.08	44.14
6661142	10.95	18.54	26.42	29.84	32.72	36.22	39.52	44.8
6661143	10.76	19.68	28.08	32.72	38.37	42.04	44.19	46.22
6661154	8.66	12.85	21.13	26.63	30.9	34.01	36.47	41.33
6661155	9.88	15.87	22.67	26.23	29.33	31.75	34.35	37.39
6661156	10.67	17.99	24.67	27.03	28.07	28.37	30.56	32.03
6661157	9.69	15.51	21.3	24.07	25.08	25.66	27.52	28.35
6661158	8.45	14.76	23.93	29.52	31.48	34.29	35.07	37.96
6661162	6.68	14.97	23.48	31.25	37.21	41.3	45.44	48.32
6661163	9.81	17.3	27.28	35.72	42.01	46.18	48.74	51.64
6661164	11.74	20.91	27.66	31.12	34.45	35.57	36.95	38.6
6661165	10.33	18.92	27.56	36.44	42.88	45.51	49	51.94
6661166	10.64	18.82	27.41	35.04	39.28	41.55	40.41	42.79
6661208	9.95	20.36	27.19	30.73	33.65	35.27	36.88	38.95
6661209	11.52	21.8	29.59	34.28	37.55	39.79	41.49	44.01
6661210	9.41	18.89	26.91	31.87	32.71	34.36	36.51	36.36
6661211	11.24	22.32	26.69	31.28	32.86	34.75	37.04	39.35
6661212	10.09	20.92	26.34	30.72	32.26	35.1	36.64	38.95
6661223	8.27	16.17	25.62	32.25	29.61	38.8	42.69	44.96
6661224	9.18	17.14	23.26	27.35	29.47	29.9	31.88	33.78
6661225	6.55	11.41	18.48	24.21	28.86	30.14	33.55	35.9
6661226	8.37	16.01	22.35	26.59	28.02	30	31.58	33.51
6661227	8.71	16.88	23.75	27.59	36.68	29.12	31.51	32.09
6661232	10.01	20.37	27.9	34.91	41.11	45.1	48.1	50.18
6661233	10.63	18.57	26.44	32.9	37.99	41.6	43.7	46.58
6661234	12.23	23.49	29.32	32.09	33.73	36.06	36.84	39.31
6661240	10.03	17.72	22.5	26.84	28.99	30.85	32.65	34.72
6661241	10.43	18.71	24.29	27.11	29.27	30.62	32.07	33.76
6661242	11.12	20.44	25.07	29.11	30.43	31.96	33.4	35.16
6661243	10.55	18.07	25.28	31.92	36.8	40.98	43.93	46.27
6661244	9.54	18.57	23.98	27.52	29.77	31.14	32.93	34.34
6661249	12.17	21.55	29.65	35.27	40.34	42.85	46.8	49.31
6661250	11.06	19.16	25.8	28.25	30.38	31.89	34.15	34.78
6661251	14.16	20.73	24.49	27.81	30.09	31.97	35	35.04
6661252	10.7	18.35	27.26	34.08	38.86	41.44	45.86	47.45
6661253	11.21	19.93	29.3	35.62	39.9	41.86	43.99	45.47
6661257	13.78	22.02	28.99	31.43	33.73	35.39	37.73	38.36
6661258	12.92	19.21	23.57	26.93	28.93	30.12	31.79	31.99
6661259	11.94	19.3	26.02	28.11	29.75	31.48	33.57	34.26
6661260	12.97	19.94	29.19	34.76	39.33	41.47	44.26	45.37
6661261	11.18	17.05	23.92	26.98	29.65	29.26	30.25	30.73
6661307	7.06	13.36	20.64	26.44	28.2	29.99	31.17	33.43
6661308	7.69	13.59	21.49	26.05	27.79	28.96	30.47	30.68
6661309	8.29	15.41	23.05	26.58	28.72	31.1	32.37	33.29
6661310	8.51	15.9	24.21	27.35	28.4	30.9	31.62	34.02
6661311	7.46	13.73	21.81	25.52	28.37	30.86	31.63	32.86
6661316	9.25	16.49	26.54	31.73	36.92	42.7	47.93	52.18
6661317	10.48	18.14	26.08	28.99	30.76	32.64	34.31	35.62
6661318	9.93	16.52	24.7	28.37	30.87	33.97	36.07	37.15
6661319	9.31	16.59	25.82	29.29	32.58	36.75	41.1	44.32
6661320	11.14	19.95	28.64	30.06	31.4	33.36	35.68	36.55
6661325	9.7	17.23	24.62	27.14	30.59	35.75	39.12	40.11
6661326	11.83	21.14	27.62	30.27	29.53	31.59	32.11	33.72
6661327	9.86	17.52	23.71	25.2	25.04	27.5	30.45	30.77
6661328	11.48	20.58	26.87	28.98	27.64	31.3	33.97	36
6661329	11.32	19.81	26.46	30.14	31.31	37.49	39.32	44.4
6661340	12.78	21.18	27.06	30.03	30.14	30.9	34.76	29.85
6661342	12.46	20.11	22.75	23.51	25.57	26.24	26.55	21.65
6661343	14.98	25	26.42	24.71	26.05	27.8	30.03	24.58
6661368	10.47	18.74	26.05	30.52	33.61	35.85	37.99	40.51
