chr	pos
UNC010515443	1	3.668628
UNC11461	1	4.024785
UNC12838	1	4.136034
UNC16386	1	4.446737
UNC010515556	1	4.531029
UNC23995	1	5.133382
UNC28841	1	5.944792
UNC34218	1	6.357478
UNC40323	1	6.846703
JAX00000353	1	7.698048
JAX00241337	1	7.771532
JAX00241351	1	7.940508
UNC57959	1	7.969906
JAX00241357	1	8.023368
UNC61552	1	8.262392
UNC64786	1	8.458157
UNC73203	1	9.037356
UNC76650	1	9.28275
backupJAX00000484	1	9.553973
UNC85539	1	9.964703
UNC87850	1	10.147799
UNC92768	1	10.619399
UNC94417	1	10.741675
UNC94965	1	10.809088
UNC96966	1	10.964168
UNC010961842	1	11.139173
UNC102696	1	11.291251
UNC103874	1	11.341672
UNC104485	1	11.372643
UNC109624	1	11.643615
UNC110353	1	11.692348
JAX00241997	1	11.832552
UNC114331	1	11.914562
B6_01-011986786-S	1	11.996705
UNC115578	1	12.006194
UNC116540	1	12.082783
UNC116817	1	12.116705
UNC119817	1	12.371234
UNC010520877	1	12.722538
UNC123541	1	12.729603
UNC123662	1	12.740981
UNC125332	1	12.880486
UNC125893	1	12.916065
JAX00242226	1	13.038248
JAX00000747	1	13.055719
UNC128912	1	13.076797
UNC129874	1	13.129964
UNC130265	1	13.164449
UNC130697	1	13.202276
UNC131724	1	13.287056
UNC132450	1	13.356203
UNC135474	1	13.604982
UNC137674	1	13.738223
UNC138462	1	13.781683
JAX00242455	1	13.782602
JAX00242480	1	13.855369
UNC140121	1	13.860415
UNC140543	1	13.890559
UNC144144	1	14.196604
UNC144647	1	14.22863
UNC145132	1	14.261489
UNC145909	1	14.334166
backupUNC010029391	1	14.350467
UNC146540	1	14.367338
UNC148022	1	14.473352
JAX00000863	1	14.579332
UNC149432	1	14.589546
UNC149968	1	14.622203
UNC010030595	1	14.698538
UNC163443	1	15.499909
UNC164943	1	15.590146
JAX00242874	1	15.817404
UNC168953	1	15.857464
JAX00000960	1	15.905961
UNC170285	1	15.938033
UNC172447	1	16.106636
UNC173039	1	16.155822
JAX00000980	1	16.162132
UNC177767	1	16.578608
UNC179038	1	16.699047
UNC182173	1	16.960039
UNC010687234	1	16.98167
UNC184484	1	17.121242
UNC186479	1	17.255046
JAX00243111	1	17.31631
UNC187637	1	17.321336
UNC211603	1	18.872023
UNC218583	1	19.481986
UNC219849	1	19.564696
UNC222054	1	19.717084
UNC010523586	1	19.838001
JAX00001283	1	20.201542
UNC231492	1	20.394846
UNC236681	1	20.734197
UNC243821	1	21.099704
JAX00244011	1	21.650918
UNC253175	1	21.690647
JAX00244057	1	21.734712
UNC257864	1	21.991889
UNC260669	1	22.224442
UNC261003	1	22.249794
UNC262158	1	22.309279
UNC263810	1	22.40054
UNC266725	1	22.634298
JAX00001464	1	22.664189
UNC268149	1	22.714421
JAX00001471	1	22.739878
UNC010529057	1	22.749886
UNC269692	1	22.796362
UNC269899	1	22.809394
UNC270452	1	22.843828
B6_01-033811444-S	1	33.754599
UNC482602	1	38.745704
UNC483273	1	38.793111
UNC487441	1	39.014729
JAX00247780	1	39.016071
UNC487589	1	39.022017
UNC488654	1	39.070259
JAX00247813	1	39.10425
UNC490855	1	39.232378
JAX00002707	1	39.243848
UNC491954	1	39.305953
UNC492314	1	39.334119
UNC492821	1	39.381068
JAX00247915	1	39.417897
UNC496279	1	39.607116
UNC496336	1	39.609803
UNC497379	1	39.663274
UNC498300	1	39.714306
UNC500236	1	39.821829
JAX00002762	1	39.95975
UNC502670	1	39.981593
UNC502964	1	40.004667
UNC503417	1	40.040589
JAX00248113	1	40.041729
UNC503702	1	40.057767
UNC503938	1	40.072341
UNC504450	1	40.108579
UNC504677	1	40.122051
UNC010073213	1	40.137256
UNC507751	1	40.315416
UNC508517	1	40.375421
UNC508749	1	40.389328
JAX00248251	1	40.439384
UNC509809	1	40.458688
UNC510316	1	40.490496
UNC510637	1	40.513437
UNC510853	1	40.530323
UNC511433	1	40.56329
UNC511891	1	40.588674
UNC513116	1	40.682856
JAX00002816	1	40.685528
UNC513219	1	40.691967
JAX00002820	1	40.755452
UNC514382	1	40.76084
UNC516206	1	40.85656
UNC517414	1	40.922707
JAX00002871	1	41.422748
UNC525479	1	41.452295
UNC525766	1	41.47794
UNC526893	1	41.557569
JAX00002883	1	41.590612
UNC527937	1	41.622021
UNC528356	1	41.647001
UNC528437	1	41.651136
UNC528903	1	41.702292
JAX00248499	1	41.706086
UNC529906	1	41.781418
UNC531500	1	41.886546
UNC531718	1	41.906176
JAX00002909	1	41.912677
UNC532315	1	41.950766
UNC532412	1	41.960821
JAX00002914	1	41.994144
UNC533314	1	42.026549
UNC534538	1	42.129604
UNC535822	1	42.213798
UNC536233	1	42.248208
JAX00248660	1	42.319987
UNC537525	1	42.347493
JAX00002942	1	42.367572
UNC538011	1	42.38475
UNC538335	1	42.40382
JAX00248686	1	42.40745
UNC538532	1	42.416762
UNC539111	1	42.453395
UNC539298	1	42.464325
UNC539732	1	42.497612
UNC539910	1	42.509759
UNC549686	1	43.202543
UNC549896	1	43.215598
UNC550060	1	43.233133
UNC551425	1	43.300011
UNC551663	1	43.318054
JAX00248937	1	43.321934
UNC552260	1	43.35423
JAX00003017	1	43.355775
UNC552818	1	43.387671
UNC553082	1	43.399904
UNC553601	1	43.432952
UNC553849	1	43.447621
UNC554095	1	43.461718
UNC555788	1	43.564847
UNC557096	1	43.652194
UNC557806	1	43.685711
JAX00249034	1	43.76603
JAX00249118	1	44.106513
backupUNC010557791	1	44.182604
UNC574402	1	44.827255
UNC010084304	1	44.950599
UNC578793	1	45.256528
UNC589868	1	45.915046
UNC010712538	1	46.113684
UNC592611	1	46.20889
JAX00003252	1	46.526853
UNC594903	1	46.554099
JAX00249676	1	46.824636
UNC596831	1	46.836292
JAX00003279	1	46.868702
UNC597735	1	46.906967
JAX00249717	1	46.926036
UNC010559810	1	47.189877
UNC601980	1	47.270468
UNC605533	1	47.576642
backupUNC010715008	1	47.623208
UNC010715287	1	47.734389
UNC614659	1	48.348166
JAX00003394	1	48.405811
UNC615565	1	48.446179
UNC010561617	1	48.544181
UNC645531	1	50.675738
UNC651262	1	51.090237
JAX00003607	1	51.261579
UNC653694	1	51.267684
JAX00250381	1	51.289375
UNC655256	1	51.383654
UNC655421	1	51.400179
UNC655657	1	51.411962
UNC656481	1	51.49735
UNC658688	1	51.647779
JAX00250473	1	51.648062
UNC659763	1	51.709998
UNC660238	1	51.745276
UNC660770	1	51.771889
JAX00003653	1	51.878108
UNC663552	1	51.926616
UNC663918	1	51.943029
UNC664984	1	51.999488
UNC665178	1	52.00983
JAX00250618	1	52.01153
backupUNC010724016	1	54.508532
UNC698050	1	54.680902
JAX00251228	1	54.686564
UNC699324	1	54.764587
UNC699866	1	54.807509
UNC702963	1	55.011995
UNC703322	1	55.036796
UNC705778	1	55.242653
UNC706090	1	55.290338
JAX00003916	1	55.393497
UNC707026	1	55.419
JAX00251419	1	55.427912
UNC707616	1	55.460572
UNC711145	1	55.695448
UNC713154	1	55.828293
JAX00003956	1	55.912315
UNC715622	1	56.042782
UNC716055	1	56.100989
UNC718116	1	56.252978
UNC719247	1	56.333578
UNC010729195	1	56.371803
JAX00003993	1	56.394783
UNC721192	1	56.520603
UNC721751	1	56.57662
UNC722178	1	56.618978
UNC722840	1	56.670407
JAX00004020	1	56.754706
JAX00004022	1	56.790769
UNC724674	1	56.8639
UNC725132	1	56.902296
JAX00251840	1	56.910492
UNC725998	1	56.98752
JAX00251867	1	57.027315
UNC726590	1	57.032462
UNC729151	1	57.273254
UNC010731340	1	57.358576
UNC730430	1	57.38617
UNC731078	1	57.443339
JAX00251959	1	57.464201
UNC732898	1	57.594147
UNC750579	1	59.118549
UNC750740	1	59.128853
backupJAX00252274	1	59.129495
UNC790025	1	62.625074
UNC010446561	1	62.634575
UNC790834	1	62.688983
UNC791131	1	62.719241
UNC804306	1	64.033641
UNC804718	1	64.07121
UNC804981	1	64.097733
UNC805608	1	64.157133
UNC805911	1	64.186954
UNC807288	1	64.324127
UNC807932	1	64.378809
UNC808491	1	64.430567
UNC809041	1	64.46861
JAX00253313	1	64.650709
UNC812026	1	64.700644
JAX00253323	1	64.704165
UNC812359	1	64.74067
UNC010106729	1	65.049469
UNC816809	1	65.110158
UNC821869	1	65.504911
UNC822146	1	65.549749
JAX00004677	1	65.565267
UNC010107618	1	65.575467
UNC823147	1	65.636141
UNC823895	1	65.685866
UNC010108618	1	65.68843
UNC824891	1	65.729137
UNC826886	1	65.865333
UNC827494	1	65.903648
UNC828332	1	65.9531
UNC828726	1	66.002035
UNC828952	1	66.043238
UNC829516	1	66.085622
UNC831500	1	66.201739
UNC832262	1	66.250044
UNC833125	1	66.309523
UNC010114763	1	66.34574
UNC833920	1	66.355777
UNC835226	1	66.437231
JAX00004743	1	66.44202
UNC835792	1	66.482189
UNC836407	1	66.527632
UNC010564849	1	66.626699
UNC838213	1	66.673069
UNC838450	1	66.695636
UNC838814	1	66.733907
UNC839510	1	66.799554
JAX00004774	1	66.847562
UNC840480	1	66.854337
JAX00253711	1	66.887341
UNC842284	1	66.943552
UNC842856	1	66.987396
UNC843989	1	67.048887
UNC844929	1	67.113473
UNC845282	1	67.137464
UNC846806	1	67.253878
UNC847336	1	67.29176
UNC848027	1	67.333306
UNC848846	1	67.389085
UNC850115	1	67.460846
JAX00004842	1	67.76253
UNC854778	1	67.826948
UNC856600	1	67.961848
UNC857628	1	68.048443
UNC858102	1	68.085262
UNC859504	1	68.17593
UNC860473	1	68.23501
UNC863458	1	68.442843
UNC864329	1	68.498057
UNC865642	1	68.619878
UNC867214	1	68.721459
JAX00004915	1	68.731989
UNC010135944	1	68.758373
UNC867840	1	68.767074
JAX00004919	1	68.800157
UNC868588	1	68.813136
UNC869157	1	68.858886
UNC869715	1	68.896059
JAX00004936	1	69.019958
UNC871558	1	69.035265
